,learning rate,batch size,epochs,mode,ARI,NMI,SC
0,0.0001,256,300,denoise,0.6410004795273216,0.7667294249635506,0.5789354
1,0.0001,256,300,latent,0.5681495407474076,0.698629763361789,0.52501845
2,0.0001,256,100,denoise,0.576790854166142,0.7105014220735482,0.47957703
3,0.0001,256,100,latent,0.4385729779664899,0.5976884004903503,0.4869008
4,0.0001,256,50,denoise,0.5926662860418853,0.7148029869094447,0.5347402
5,0.0001,256,50,latent,0.38496558077636966,0.5143305444413503,0.4650227
6,0.0001,128,300,denoise,0.6310847313516496,0.7787754579661536,0.5689558
7,0.0001,128,300,latent,0.622812967836742,0.747638922091121,0.53029394
8,0.0001,128,100,denoise,0.6332401659645928,0.7596578857528902,0.5933481
9,0.0001,128,100,latent,0.5437581908046513,0.6971037858833464,0.53080654
10,0.0001,128,50,denoise,0.6171318472859969,0.7428277120522758,0.50698763
11,0.0001,128,50,latent,0.5338992516324088,0.6740233228210156,0.50786465
12,0.0001,64,300,denoise,0.7184252797064878,0.840844291982022,0.57376873
13,0.0001,64,300,latent,0.6392537841810095,0.7812611357851401,0.5519045
14,0.0001,64,100,denoise,0.7144228123695315,0.8278661788769297,0.5918964
15,0.0001,64,100,latent,0.7036262166474763,0.8042446498570335,0.5484818
16,0.0001,64,50,denoise,0.6366321594951498,0.7623548961539707,0.5375159
17,0.0001,64,50,latent,0.560619471261183,0.685412077987174,0.49717662
18,0.001,256,300,denoise,0.7924626021346112,0.8866702493578268,0.6829375
19,0.001,256,300,latent,0.6709080677394367,0.7650174764135613,0.5764737
20,0.001,256,100,denoise,0.7028785040453258,0.8335237505737657,0.62828755
21,0.001,256,100,latent,0.6294542036732935,0.7387372470909729,0.54213333
22,0.001,256,50,denoise,0.723347855812337,0.8458460286967867,0.5871989
23,0.001,256,50,latent,0.6104381422378334,0.7462530557239911,0.5938301
24,0.001,128,300,denoise,0.7234637417452651,0.8344046722703012,0.59841436
25,0.001,128,300,latent,0.6403378620263773,0.7649379877843395,0.5173547
26,0.001,128,100,denoise,0.6826861030904241,0.8207748711093006,0.6340242
27,0.001,128,100,latent,0.6567571478516354,0.7676338001704752,0.5330775
28,0.001,128,50,denoise,0.6561189359230618,0.8158769623249146,0.6111985
29,0.001,128,50,latent,0.5888364452609487,0.7362779748326651,0.54324335
30,0.001,64,300,denoise,0.7670263106458354,0.8671183054400738,0.6255798
31,0.001,64,300,latent,0.6821990852638848,0.7910867913533101,0.5717501
32,0.001,64,100,denoise,0.9406229948836696,0.9471687068707904,0.62191284
33,0.001,64,100,latent,0.5933360400435851,0.7287972556710064,0.54218686
34,0.001,64,50,denoise,0.7298129454388979,0.8372610201886169,0.60818475
35,0.001,64,50,latent,0.6429615276124758,0.7536973011961531,0.55393624
